x,y
5.047521527957315470e+02,-4.608198078651242646e+00
5.047603845223057419e+02,-4.606620254139366821e+00
5.047686247295172848e+02,-4.605087364261945204e+00
5.047768726524533918e+02,-4.603596522037616268e+00
5.047851275901801955e+02,-4.602145036124356103e+00
5.047933889450957281e+02,-4.600730533720724047e+00
5.048016561883342206e+02,-4.599350862875830614e+00
5.048099288506797393e+02,-4.598004067593607580e+00
5.048182065143174100e+02,-4.596688363960585555e+00
5.048264888074787677e+02,-4.595402126424956712e+00
5.048347753971113434e+02,-4.594143865953356887e+00
5.048430659819645143e+02,-4.592912207682705805e+00
5.048513602917199137e+02,-4.591705890201092544e+00
5.048596580814850086e+02,-4.590523747693799450e+00
5.048679591274938048e+02,-4.589364694909572329e+00
5.048762632278804858e+02,-4.588227731942662757e+00
5.048845701970629989e+02,-4.587111923730352814e+00
5.048928798652428327e+02,-4.586016398792494009e+00
5.049011920776169404e+02,-4.584940347542892702e+00
5.049095066902771691e+02,-4.583883005931678412e+00
5.049178235722094996e+02,-4.582843664764438607e+00
5.049261426012707830e+02,-4.581821653355589774e+00
5.049344636650014877e+02,-4.580816343437268401e+00
5.049427866592665168e+02,-4.579827144072698530e+00
5.049511114867700599e+02,-4.578853495198967671e+00
5.049594380580129496e+02,-4.577894872727201303e+00
5.049677662884512301e+02,-4.576950775648861658e+00
5.049760961004621436e+02,-4.576020735750081059e+00
5.049844274203346686e+02,-4.575104303617049339e+00
5.049927601801974220e+02,-4.574201058226597283e+00
5.050010943155218115e+02,-4.573310595100598341e+00
5.050094297665962131e+02,-4.572432533779263508e+00
5.050177664766538896e+02,-4.571566508778767357e+00
5.050261043929120888e+02,-4.570712174978750930e+00
5.050344434651726715e+02,-4.569869200743095661e+00
5.050427836465941596e+02,-4.569037272013331652e+00
5.050511248925587893e+02,-4.568216086618792637e+00
5.050594671613548599e+02,-4.567405357971525248e+00
5.050678104131301893e+02,-4.566604809659608577e+00
5.050761546106242008e+02,-4.565814179495955472e+00
5.050844997180798259e+02,-4.565033213705985027e+00
5.050928457021108215e+02,-4.564261671830572631e+00
5.051011925305069212e+02,-4.563499320130470771e+00
5.051095401732544588e+02,-4.562745937484838699e+00
5.051178886012496037e+02,-4.562001308074131956e+00
5.051262377874011236e+02,-4.561265227897861152e+00
5.051345877053700519e+02,-4.560537497416829567e+00
5.051429383305750775e+02,-4.559817927641852009e+00
5.051512896391729441e+02,-4.559106334032378527e+00
5.051596416087306238e+02,-4.558402540698438088e+00
5.051679942176644431e+02,-4.557706376964429040e+00
5.051763474453982781e+02,-4.557017678465967059e+00
5.051847012723754347e+02,-4.556336287225694726e+00
5.051930556796666565e+02,-4.555662049275163383e+00
5.052014106494888210e+02,-4.554994817976423249e+00
5.052097661644418167e+02,-4.554334449177119382e+00
5.052181222082318186e+02,-4.553680805946809684e+00
5.052264787649405093e+02,-4.553033753819917706e+00
5.052348358194930142e+02,-4.552393163948725174e+00
5.052431933573805054e+02,-4.551758911261159390e+00
5.052515513645795977e+02,-4.551130873983537661e+00
5.052599098278386123e+02,-4.550508935588668535e+00
5.052682687341436463e+02,-4.549892981189552543e+00
5.052766280712678508e+02,-4.549282901357455167e+00
5.052849878272445494e+02,-4.548678588471778639e+00
5.052933479906465664e+02,-4.548079938726742988e+00
5.053017085505253476e+02,-4.547486851700937471e+00
5.053100694961693762e+02,-4.546899228680407745e+00
5.053184308174917305e+02,-4.546316975452501019e+00
5.053267925045558400e+02,-4.545739998895084177e+00
5.053351545479143851e+02,-4.545168209481916577e+00
5.053435169384442815e+02,-4.544601520066101408e+00
5.053518796672322537e+02,-4.544039845071544015e+00
5.053602427258602461e+02,-4.543483102632163373e+00
5.053686061060168981e+02,-4.542931211681765724e+00
5.053769697997868775e+02,-4.542384094177514875e+00
5.053853337995202537e+02,-4.541841674097121917e+00
5.053936980977142639e+02,-4.541303876564396269e+00
5.054020626872802495e+02,-4.540770629917820322e+00
5.054104275612188530e+02,-4.540241863190339622e+00
5.054187927128164688e+02,-4.539717507678173725e+00
5.054271581356208571e+02,-4.539197496742562343e+00
5.054355238232595866e+02,-4.538681764386069517e+00
5.054438897697031052e+02,-4.538170247373465749e+00
5.054522559690288404e+02,-4.537662883329495855e+00
5.054606224154790652e+02,-4.537159611231457390e+00
5.054689891035725395e+02,-4.536660372322029566e+00
5.054773560278738387e+02,-4.536165108221182685e+00
5.054857231831883269e+02,-4.535673762559153666e+00
5.054940905644850773e+02,-4.535186280330885999e+00
5.055024581667942698e+02,-4.534702607048790135e+00
5.055108259854047219e+02,-4.534222690419478674e+00
5.055191940156780674e+02,-4.533746478769858257e+00
5.055275622530882060e+02,-4.533273921394303407e+00
5.055359306933254970e+02,-4.532804969454892863e+00
5.055442993321119616e+02,-4.532339574390962689e+00
5.055526681653275318e+02,-4.531877689025451517e+00
5.055610371890038550e+02,-4.531419267514754878e+00
5.055694063991994653e+02,-4.530964264254284224e+00
5.055777757921533180e+02,-4.530512635250469877e+00
5.055861453641975913e+02,-4.530064337340270697e+00
5.055945151117045384e+02,-4.529619327726951639e+00
5.056028850312259237e+02,-4.529177565241583991e+00
5.056112551193642162e+02,-4.528739009176932839e+00
5.056196253727827070e+02,-4.528303619386337964e+00
5.056279957883048723e+02,-4.527871357199154012e+00
5.056363663627807910e+02,-4.527442184194248043e+00
5.056447370931393834e+02,-4.527016062687441611e+00
5.056531079764432093e+02,-4.526592956247669441e+00
5.056614790097703462e+02,-4.526172828592033071e+00
5.056698501902891962e+02,-4.525755644297223768e+00
5.056782215152763911e+02,-4.525341368970752676e+00
5.056865929820197039e+02,-4.524929968328580188e+00
5.056949645879025752e+02,-4.524521409012558060e+00
5.057033363303954729e+02,-4.524115658505706961e+00
5.057117082069785283e+02,-4.523712684389407990e+00
5.057200802152283359e+02,-4.523312455190397152e+00
5.057284523527918054e+02,-4.522914940129425077e+00
5.057368246173257376e+02,-4.522520108525590388e+00
5.057451970065802129e+02,-4.522127930628777825e+00
5.057535695183639746e+02,-4.521738377277057630e+00
5.057619421504955426e+02,-4.521351419406225425e+00
5.057703149008813170e+02,-4.520967028845581659e+00
5.057786877674788570e+02,-4.520585177942697541e+00
5.057870607482547598e+02,-4.520205839137002357e+00
5.057954338412570223e+02,-4.519828985709248848e+00
5.058038070445801964e+02,-4.519454591418344158e+00
5.058121803563263370e+02,-4.519082630103372189e+00
5.058205537746720211e+02,-4.518713076381663640e+00
5.058289272978379358e+02,-4.518345905333073453e+00
5.058373009240509077e+02,-4.517981092102115959e+00
5.058456746516040425e+02,-4.517618612538579548e+00
5.058540484788345566e+02,-4.517258442959276366e+00
5.058624224040840431e+02,-4.516900559729770670e+00
5.058707964257519052e+02,-4.516544939837409345e+00
5.058791705422825657e+02,-4.516191560757115475e+00
5.058875447521239153e+02,-4.515840400000421084e+00
5.058959190537721042e+02,-4.515491435606017845e+00
5.059042934457705201e+02,-4.515144646131923345e+00
5.059126679266656765e+02,-4.514800010168707800e+00
5.059210424950419451e+02,-4.514457506729390168e+00
5.059294171495338901e+02,-4.514117115382394019e+00
5.059377918887795431e+02,-4.513778815736847250e+00
5.059461667114447891e+02,-4.513442587713798027e+00
5.059545416162473543e+02,-4.513108411819999333e+00
5.059629166019107629e+02,-4.512776268626957688e+00
5.059712916671762741e+02,-4.512446138910593874e+00
5.059796668108375570e+02,-4.512118004042546815e+00
5.059880420316972618e+02,-4.511791845502389542e+00
5.059964173285683273e+02,-4.511467644883852657e+00
5.060047927003122936e+02,-4.511145384346688658e+00
5.060131681458055937e+02,-4.510825046225733992e+00
5.060215436639294921e+02,-4.510506612907841273e+00
5.060299192536061241e+02,-4.510190067265886782e+00
5.060382949137804758e+02,-4.509875392438098096e+00
5.060466706433990680e+02,-4.509562571581867019e+00
5.060550464414391172e+02,-4.509251588221967033e+00
5.060634223069081372e+02,-4.508942426244157531e+00
5.060717982388151199e+02,-4.508635069551583108e+00
5.060801742361883271e+02,-4.508329502279648793e+00
5.060885502980916613e+02,-4.508025708998693482e+00
5.060969264235932883e+02,-4.507723674326839181e+00
5.061053026117703553e+02,-4.507423382994588223e+00
5.061136788617368438e+02,-4.507124820183849856e+00
5.061220551726160579e+02,-4.506827971189865778e+00
5.061304315435340300e+02,-4.506532821346493023e+00
5.061388079736480563e+02,-4.506239356368868521e+00
5.061471844621323157e+02,-4.505947562189402511e+00
5.061555610081621239e+02,-4.505657424749791140e+00
5.061639376109325212e+02,-4.505368930244967096e+00
5.061723142696644686e+02,-4.505082065193479757e+00
5.061806909835805754e+02,-4.504796816135018922e+00
5.061890677519126598e+02,-4.504513169728880051e+00
5.061974445739222119e+02,-4.504231113012227894e+00
5.062058214488764634e+02,-4.503950633096672540e+00
5.062141983760454309e+02,-4.503671717129165586e+00
5.062225753547243130e+02,-4.503394352583788951e+00
5.062309523842221211e+02,-4.503118527111722003e+00
5.062393294638480938e+02,-4.502844228370010526e+00
5.062477065929268747e+02,-4.502571444216095564e+00
5.062560837708047643e+02,-4.502300162793521743e+00
5.062644609968299960e+02,-4.502030372267793012e+00
5.062728382703560897e+02,-4.501762060879881844e+00
5.062812155907612350e+02,-4.501495217194273479e+00
5.062895929574298748e+02,-4.501229829862118059e+00
5.062979703697475315e+02,-4.500965887548784572e+00
5.063063478271177473e+02,-4.500703379159777917e+00
5.063147253289586160e+02,-4.500442293800530180e+00
5.063231028746889137e+02,-4.500182620582783066e+00
5.063314804637351472e+02,-4.499924348726382917e+00
5.063398580955446846e+02,-4.499667467733868165e+00
5.063482357695679639e+02,-4.499411967153415404e+00
5.063566134852575260e+02,-4.499157836556779699e+00
5.063649912420831924e+02,-4.498905065760046007e+00
5.063733690395254143e+02,-4.498653644723865419e+00
5.063817468770647565e+02,-4.498403563411620176e+00
5.063901247541904809e+02,-4.498154811906807105e+00
5.063985026704090160e+02,-4.497907380536027233e+00
5.064068806252289505e+02,-4.497661259655236776e+00
5.064152586181607489e+02,-4.497416439646936048e+00
5.064236366487310761e+02,-4.497172911122675032e+00
5.064320147164747254e+02,-4.496930664811121581e+00
5.064403928209267747e+02,-4.496689691442829151e+00
5.064487709616299185e+02,-4.496449981860749290e+00
5.064571491381419719e+02,-4.496211527125029583e+00
5.064655273500223416e+02,-4.495974318320622665e+00
5.064739055968320258e+02,-4.495738346554608356e+00
5.064822838781464611e+02,-4.495503603137914972e+00
5.064906621935488147e+02,-4.495270079491422877e+00
5.064990405426226516e+02,-4.495037767037487697e+00
5.065074189249565393e+02,-4.494806657289272422e+00
5.065157973401514369e+02,-4.494576741964542599e+00
5.065241757878097815e+02,-4.494348012809058268e+00
5.065325542675355450e+02,-4.494120461581666781e+00
5.065409327789492977e+02,-4.493894080207558872e+00
5.065493113216833763e+02,-4.493668860726394598e+00
5.065576898953700038e+02,-4.493444795180109530e+00
5.065660684996383907e+02,-4.493221875677431143e+00
5.065744471341076292e+02,-4.493000094543167400e+00
5.065828257983945946e+02,-4.492779444145742040e+00
5.065912044921190613e+02,-4.492559916856315283e+00
5.065995832149693570e+02,-4.492341505114407774e+00
5.066079619667057727e+02,-4.492124201431053621e+00
5.066163407470920674e+02,-4.491907998320648687e+00
5.066247195558401017e+02,-4.491692888382187832e+00
5.066330983923616600e+02,-4.491478864704668617e+00
5.066414772559609219e+02,-4.491265920553095370e+00
5.066498561459467851e+02,-4.491054049188363706e+00
5.066582350621970363e+02,-4.490843243376211547e+00
5.066666140056769905e+02,-4.490633494936442816e+00
5.066749929774742327e+02,-4.490424795582343975e+00
5.066833719784189611e+02,-4.490217137299885586e+00
5.066917510057540426e+02,-4.490010515876200259e+00
5.067001300540896978e+02,-4.489804929888092211e+00
5.067085091179754954e+02,-4.489600377976672441e+00
5.067168881955932420e+02,-4.489396855112408602e+00
5.067252673013034610e+02,-4.489194339918207710e+00
5.067336464539682197e+02,-4.488992806467695829e+00
5.067420256720664611e+02,-4.488792229226965524e+00
5.067504049430339137e+02,-4.488592614421489380e+00
5.067587842009086785e+02,-4.488394022906907921e+00
5.067671633744576525e+02,-4.488196520931889921e+00
5.067755424050540682e+02,-4.488000161888368034e+00
5.067839214158512391e+02,-4.487804813782772406e+00
5.067923006665124035e+02,-4.487610205403718133e+00
5.068006804200201714e+02,-4.487416062154683694e+00
5.068090607841739939e+02,-4.487222267830027533e+00
5.068174410501307534e+02,-4.487029539746710149e+00
5.068258202413678077e+02,-4.486838868434542604e+00
5.068341973867682100e+02,-4.486651238906839367e+00
5.068425727963797272e+02,-4.486466328805494008e+00
5.068509496905419951e+02,-4.486280845949137230e+00
5.068593316915385003e+02,-4.486091087990574877e+00
5.068677221385672738e+02,-4.485893641474284266e+00
5.068761165897265641e+02,-4.485693033640942851e+00
5.068845020432334536e+02,-4.485502527182645416e+00
5.068928650580184581e+02,-4.485335833087712665e+00
5.069011961123574110e+02,-4.485202662666375240e+00
5.069095235937083430e+02,-4.485074041039311510e+00
5.069178971439590669e+02,-4.484899303255005520e+00
5.069263666396241774e+02,-4.484627544926119036e+00
5.069349473149769096e+02,-4.484243214080103179e+00
5.069434981184582512e+02,-4.483890248469386108e+00
5.069518339457877687e+02,-4.483757541658139445e+00
5.069597706417533800e+02,-4.484033018686831795e+00
5.069673633967942692e+02,-4.484660352533953009e+00
5.069752211833445585e+02,-4.485018082057403710e+00
5.069840310671798989e+02,-4.484405051917072171e+00
5.069944454574880410e+02,-4.482155473803945966e+00
5.070057732399743600e+02,-4.478974624466965260e+00
5.070155801829532152e+02,-4.477346631101403851e+00
5.070213157770093630e+02,-4.479874282269338259e+00
5.070231732885929432e+02,-4.486360679462566559e+00
5.070298856336768836e+02,-4.487894973956765732e+00
5.070401623872459709e+02,-4.485793544402760347e+00
5.070514989185112427e+02,-4.482611699942235184e+00
5.070616302007189802e+02,-4.480660297205005804e+00
5.070702552829799856e+02,-4.480246373153311978e+00
5.070780352687937693e+02,-4.480695442833185105e+00
5.070856378546480414e+02,-4.481326294891101902e+00
5.070936199959247119e+02,-4.481570699983763006e+00
